dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono	upgma-attotree	31	1000	unitig	4071830	4252372	4098778
ngono	upgma-attotree	31	100	kmer	8573537	12690600	8971764
ngono	upgma-attotree	31	100	uniqrow	623540	722329	647230
ngono	upgma-attotree	31	100	unitig	714800	895342	741748
ngono	upgma-attotree	31	10	kmer	1560879	5677942	1961062
ngono	upgma-attotree	31	10	uniqrow	97542	196331	121086
ngono	upgma-attotree	31	10	unitig	112797	293339	139558
ngono	upgma-attotree	31	1	kmer	0	4117063	0
ngono	upgma-attotree	31	1	uniqrow	0	98789	0
ngono	upgma-attotree	31	1	unitig	0	180542	0
ngono	upgma-attotree	31	316	kmer	19272241	23389304	19670468
ngono	upgma-attotree	31	316	uniqrow	1481860	1580649	1505550
ngono	upgma-attotree	31	316	unitig	1703586	1884128	1730534
ngono	upgma-attotree	31	32	kmer	4348362	8465425	4780606
ngono	upgma-attotree	31	32	uniqrow	290287	389076	313688
ngono	upgma-attotree	31	32	unitig	334086	514628	361458
ngono	upgma-attotree	31	3	kmer	682616	4799679	1088710
ngono	upgma-attotree	31	3	uniqrow	42965	141754	67132
ngono	upgma-attotree	31	3	unitig	48539	229081	76020
ngono	upgma-hamming	31	1000	kmer	42556889	46673952	42969818
ngono	upgma-hamming	31	1000	uniqrow	3440149	3538938	3464478
ngono	upgma-hamming	31	1000	unitig	3979920	4160462	4008346
ngono	upgma-hamming	31	100	kmer	8259295	12376358	8657522
ngono	upgma-hamming	31	100	uniqrow	604012	702801	627702
ngono	upgma-hamming	31	100	unitig	700874	881416	727822
ngono	upgma-hamming	31	10	kmer	1560879	5677942	1961062
ngono	upgma-hamming	31	10	uniqrow	97542	196331	121086
ngono	upgma-hamming	31	10	unitig	112797	293339	139558
ngono	upgma-hamming	31	1	kmer	0	4117063	0
ngono	upgma-hamming	31	1	uniqrow	0	98789	0
ngono	upgma-hamming	31	1	unitig	0	180542	0
ngono	upgma-hamming	31	316	kmer	19101073	23218136	19514002
ngono	upgma-hamming	31	316	uniqrow	1448546	1547335	1472236
ngono	upgma-hamming	31	316	unitig	1677882	1858424	1706308
ngono	upgma-hamming	31	32	kmer	4351506	8468569	4783750
ngono	upgma-hamming	31	32	uniqrow	288774	387563	312182
ngono	upgma-hamming	31	32	unitig	335034	515576	362406
ngono	upgma-hamming	31	3	kmer	682616	4799679	1088710
ngono	upgma-hamming	31	3	uniqrow	42965	141754	67132
ngono	upgma-hamming	31	3	unitig	48539	229081	76020
ngono	worst	31	1000	kmer	345395442	349512505	345408872
ngono	worst	31	1000	uniqrow	21259700	21358489	21263236
ngono	worst	31	1000	unitig	24326430	24506972	24330406
ngono	worst	31	100	kmer	31602236	35719299	31625078
ngono	worst	31	100	uniqrow	1994157	2092946	1999664
ngono	worst	31	100	unitig	2278114	2458656	2281588
ngono	worst	31	10	kmer	3116299	7233362	3164242
ngono	worst	31	10	uniqrow	192563	291352	197312
ngono	worst	31	10	unitig	218411	398953	223618
ngono	worst	31	1	kmer	0	4117063	0
ngono	worst	31	1	uniqrow	0	98789	0
ngono	worst	31	1	unitig	0	180542	0
ngono	worst	31	316	kmer	108338660	112455723	108361502
ngono	worst	31	316	uniqrow	6630449	6729238	6636206
ngono	worst	31	316	unitig	7598046	7778588	7600798
ngono	worst	31	32	kmer	10720088	14837151	10759110
ngono	worst	31	32	uniqrow	663054	761843	669600
ngono	worst	31	32	unitig	755192	935734	762536
ngono	worst	31	3	kmer	802804	4919867	1088710
ngono	worst	31	3	uniqrow	43906	142695	67132
ngono	worst	31	3	unitig	49532	230074	76020
