dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	nj-attotree	31	40	unitig	1703835	2309606	1774768
ngono-spneumo	nj-attotree	31	4	kmer	5797567	18870458	9870270
ngono-spneumo	nj-attotree	31	4	uniqrow	222648	563459	384134
ngono-spneumo	nj-attotree	31	4	unitig	333586	939357	576470
ngono-spneumo	nj-attotree	31	631	kmer	104486651	117559542	104555788
ngono-spneumo	nj-attotree	31	631	uniqrow	6511790	6852601	6518524
ngono-spneumo	nj-attotree	31	631	unitig	7849031	8454802	7856428
ngono-spneumo	nj-attotree	31	63	kmer	31532438	44605329	32621340
ngono-spneumo	nj-attotree	31	63	uniqrow	1743375	2084186	1812066
ngono-spneumo	nj-attotree	31	63	unitig	2174927	2780698	2255898
ngono-spneumo	nj-attotree	31	6	kmer	10988407	24061298	11280994
ngono-spneumo	nj-attotree	31	6	uniqrow	450694	791505	465468
ngono-spneumo	nj-attotree	31	6	unitig	654993	1260764	672716
ngono-spneumo	nj-hamming	31	1000	kmer	119471125	132544016	119488108
ngono-spneumo	nj-hamming	31	1000	uniqrow	7641858	7982669	7643482
ngono-spneumo	nj-hamming	31	1000	unitig	9201631	9807402	9203552
ngono-spneumo	nj-hamming	31	100	kmer	41785995	54858886	41920806
ngono-spneumo	nj-hamming	31	100	uniqrow	2395453	2736264	2412076
ngono-spneumo	nj-hamming	31	100	unitig	2942461	3548232	2965074
ngono-spneumo	nj-hamming	31	10	kmer	13198709	26271600	14323622
ngono-spneumo	nj-hamming	31	10	uniqrow	580851	921662	665052
ngono-spneumo	nj-hamming	31	10	unitig	796819	1402590	906646
ngono-spneumo	nj-hamming	31	158	kmer	52611703	65684594	52642254
ngono-spneumo	nj-hamming	31	158	uniqrow	3137470	3478281	3139592
ngono-spneumo	nj-hamming	31	158	unitig	3830026	4435797	3832288
ngono-spneumo	nj-hamming	31	16	kmer	14833038	27905929	15940414
ngono-spneumo	nj-hamming	31	16	uniqrow	711291	1052102	776030
ngono-spneumo	nj-hamming	31	16	unitig	949447	1555218	1033830
ngono-spneumo	nj-hamming	31	1	kmer	0	13072891	0
ngono-spneumo	nj-hamming	31	1	uniqrow	0	340811	0
ngono-spneumo	nj-hamming	31	1	unitig	0	605771	0
ngono-spneumo	nj-hamming	31	251	kmer	67023004	80095895	67054778
ngono-spneumo	nj-hamming	31	251	uniqrow	4039813	4380624	4042700
ngono-spneumo	nj-hamming	31	251	unitig	4886876	5492647	4889638
ngono-spneumo	nj-hamming	31	25	kmer	18406998	31479889	20018426
ngono-spneumo	nj-hamming	31	25	uniqrow	971135	1311946	1033016
ngono-spneumo	nj-hamming	31	25	unitig	1226437	1832208	1334022
ngono-spneumo	nj-hamming	31	2	kmer	1612165	14685056	3224330
ngono-spneumo	nj-hamming	31	2	uniqrow	82425	423236	164850
ngono-spneumo	nj-hamming	31	2	unitig	107667	713438	215334
ngono-spneumo	nj-hamming	31	398	kmer	80487263	93560154	80508464
ngono-spneumo	nj-hamming	31	398	uniqrow	4901844	5242655	4904170
ngono-spneumo	nj-hamming	31	398	unitig	5955758	6561529	5959022
ngono-spneumo	nj-hamming	31	3	kmer	5776637	18849528	9852478
ngono-spneumo	nj-hamming	31	3	uniqrow	220365	561176	382452
ngono-spneumo	nj-hamming	31	3	unitig	330879	936650	574392
ngono-spneumo	nj-hamming	31	40	kmer	24879536	37952427	25953662
ngono-spneumo	nj-hamming	31	40	uniqrow	1392245	1733056	1408928
ngono-spneumo	nj-hamming	31	40	unitig	1683393	2289164	1768138
ngono-spneumo	nj-hamming	31	4	kmer	5797567	18870458	9870270
ngono-spneumo	nj-hamming	31	4	uniqrow	222648	563459	384134
ngono-spneumo	nj-hamming	31	4	unitig	333586	939357	576470
ngono-spneumo	nj-hamming	31	631	kmer	100340618	113413509	100361148
ngono-spneumo	nj-hamming	31	631	uniqrow	6312696	6653507	6313860
ngono-spneumo	nj-hamming	31	631	unitig	7635066	8240837	7636594
ngono-spneumo	nj-hamming	31	63	kmer	28482520	41555411	32691764
ngono-spneumo	nj-hamming	31	63	uniqrow	1798735	2139546	1815418
ngono-spneumo	nj-hamming	31	63	unitig	2245503	2851274	2266696
ngono-spneumo	nj-hamming	31	6	kmer	7119660	20192551	11280994
ngono-spneumo	nj-hamming	31	6	uniqrow	328129	668940	465468
ngono-spneumo	nj-hamming	31	6	unitig	450133	1055904	672716
ngono-spneumo	optimal	31	1000	kmer	106877939	119950830	111071626
ngono-spneumo	optimal	31	1000	uniqrow	6969695	7310506	7131022
ngono-spneumo	optimal	31	1000	unitig	8344945	8950716	8590264
ngono-spneumo	optimal	31	100	kmer	35849415	48922306	40116664
ngono-spneumo	optimal	31	100	uniqrow	2157120	2497931	2315034
