dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	nj-hamming	29	1000	unitig	9182174	9792227	9184498
ngono-spneumo	nj-hamming	31	1000	kmer	119471125	132544016	119488108
ngono-spneumo	nj-hamming	31	1000	uniqrow	7641858	7982669	7643482
ngono-spneumo	nj-hamming	31	1000	unitig	9201631	9807402	9203552
ngono-spneumo	optimal	11	1000	kmer	16503141	18302490	17464210
ngono-spneumo	optimal	11	1000	uniqrow	11924373	12508905	12207150
ngono-spneumo	optimal	11	1000	unitig	16393364	18178899	17348376
ngono-spneumo	optimal	13	1000	kmer	56850431	63740099	60219824
ngono-spneumo	optimal	13	1000	uniqrow	15691472	16496794	16034830
ngono-spneumo	optimal	13	1000	unitig	40484424	45167981	42857696
ngono-spneumo	optimal	15	1000	kmer	72088745	81405139	76140014
ngono-spneumo	optimal	15	1000	uniqrow	7404779	7789705	7576080
ngono-spneumo	optimal	15	1000	unitig	16965301	18816577	17806564
ngono-spneumo	optimal	17	1000	kmer	78020965	88065327	82161594
ngono-spneumo	optimal	17	1000	uniqrow	6172572	6485565	6327514
ngono-spneumo	optimal	17	1000	unitig	8992500	9791080	9345142
ngono-spneumo	optimal	19	1000	kmer	82667048	93189253	86827748
ngono-spneumo	optimal	19	1000	uniqrow	6182392	6492792	6336738
ngono-spneumo	optimal	19	1000	unitig	8048157	8703675	8332832
ngono-spneumo	optimal	21	1000	kmer	87031609	97995851	91201872
ngono-spneumo	optimal	21	1000	uniqrow	6241965	6553821	6396588
ngono-spneumo	optimal	21	1000	unitig	7920010	8546616	8186246
ngono-spneumo	optimal	23	1000	kmer	91209825	102603671	95386240
ngono-spneumo	optimal	23	1000	uniqrow	6477466	6799262	6635536
ngono-spneumo	optimal	23	1000	unitig	8069720	8691917	8329004
ngono-spneumo	optimal	25	1000	kmer	95272523	107091017	99453952
ngono-spneumo	optimal	25	1000	uniqrow	6613334	6940622	6771544
ngono-spneumo	optimal	25	1000	unitig	8130579	8746001	8382014
ngono-spneumo	optimal	27	1000	kmer	99241270	111481106	103427172
ngono-spneumo	optimal	27	1000	uniqrow	6664083	6992763	6822192
ngono-spneumo	optimal	27	1000	unitig	8126088	8733680	8370692
ngono-spneumo	optimal	29	1000	kmer	103095559	115753107	107285536
ngono-spneumo	optimal	29	1000	uniqrow	6868930	7206260	7029480
ngono-spneumo	optimal	29	1000	unitig	8295984	8906037	8537602
ngono-spneumo	optimal	31	1000	kmer	106877939	119950830	111071626
ngono-spneumo	optimal	31	1000	uniqrow	6969673	7310484	7131000
ngono-spneumo	optimal	31	1000	unitig	8344931	8950702	8590250
ngono-spneumo	randomized	11	1000	kmer	547848027	549647376	548007680
ngono-spneumo	randomized	11	1000	uniqrow	181031291	181615823	181154252
ngono-spneumo	randomized	11	1000	unitig	544356652	546142187	544515332
ngono-spneumo	randomized	13	1000	kmer	1902684939	1909574607	1903260372
ngono-spneumo	randomized	13	1000	uniqrow	225697293	226502615	225861780
ngono-spneumo	randomized	13	1000	unitig	1345799335	1350482892	1346215590
ngono-spneumo	randomized	15	1000	kmer	2297570065	2306886459	2298294652
ngono-spneumo	randomized	15	1000	uniqrow	113629184	114014110	113704276
ngono-spneumo	randomized	15	1000	unitig	491954441	493805717	492127086
