dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono	upgma-attotree	15	1000	uniqrow	2904139	2987008	2924148
ngono	upgma-attotree	15	1000	unitig	4883146	5318841	4921286
ngono	upgma-attotree	17	1000	kmer	28806518	32063516	29077244
ngono	upgma-attotree	17	1000	uniqrow	2950923	3033497	2970878
ngono	upgma-attotree	17	1000	unitig	3719132	3939151	3744904
ngono	upgma-attotree	19	1000	kmer	31002000	34394493	31292968
ngono	upgma-attotree	19	1000	uniqrow	3044221	3129101	3064746
ngono	upgma-attotree	19	1000	unitig	3638546	3827649	3663036
ngono	upgma-attotree	21	1000	kmer	33079598	36597015	33389630
ngono	upgma-attotree	21	1000	uniqrow	3114274	3201160	3135248
ngono	upgma-attotree	21	1000	unitig	3670672	3851970	3695234
ngono	upgma-attotree	23	1000	kmer	35079519	38717655	35407828
ngono	upgma-attotree	23	1000	uniqrow	3208582	3298101	3230232
ngono	upgma-attotree	23	1000	unitig	3750354	3929554	3775422
ngono	upgma-attotree	25	1000	kmer	37036754	40794505	37382916
ngono	upgma-attotree	25	1000	uniqrow	3299617	3391536	3321806
ngono	upgma-attotree	25	1000	unitig	3837051	4015669	3862584
ngono	upgma-attotree	27	1000	kmer	38960751	42838045	39324556
ngono	upgma-attotree	27	1000	uniqrow	3369190	3463062	3391778
ngono	upgma-attotree	27	1000	unitig	3905443	4084126	3931352
ngono	upgma-attotree	29	1000	kmer	40855548	44852455	41236648
ngono	upgma-attotree	29	1000	uniqrow	3451067	3547367	3474204
ngono	upgma-attotree	29	1000	unitig	3987316	4166962	4013728
ngono	upgma-attotree	31	1000	kmer	42730845	46847908	43129072
ngono	upgma-attotree	31	1000	uniqrow	3539586	3638375	3563276
ngono	upgma-attotree	31	1000	unitig	4071830	4252372	4098778
ngono	upgma-hamming	11	1000	kmer	6002082	7103498	6069072
ngono	upgma-hamming	11	1000	uniqrow	2229001	2307732	2247710
